,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances,Appearances
Round,Round 0,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7 (Champion)
TeamName,,,,,,,,
Gonzaga,,2.60%,15.30%,19.00%,19.20%,12.50%,11.50%,19.90%
Kansas,,4.00%,26.30%,13.60%,18.10%,11.50%,10.90%,15.60%
Dayton,,5.80%,18.60%,16.00%,18.20%,18.00%,10.00%,13.40%
Duke,,13.50%,18.80%,17.20%,19.60%,11.50%,9.50%,9.90%
San Diego St,,10.60%,28.50%,18.60%,21.30%,7.90%,6.10%,7.00%
Michigan St,,12.70%,20.00%,23.50%,19.50%,13.10%,5.00%,6.20%
Baylor,,13.70%,22.10%,24.60%,15.80%,12.60%,5.50%,5.70%
Florida St,,12.30%,31.00%,21.50%,18.10%,10.40%,4.00%,2.70%
Creighton,,14.70%,25.20%,29.60%,15.70%,9.50%,3.00%,2.30%
Louisville,,26.30%,26.10%,21.80%,11.40%,8.40%,3.80%,2.20%
BYU,,25.20%,28.80%,26.70%,12.10%,3.80%,1.80%,1.60%
Ohio St,,30.00%,36.60%,16.50%,8.10%,5.20%,2.10%,1.50%
Kentucky,,15.70%,26.70%,31.90%,16.00%,5.30%,3.10%,1.30%
Oregon,,16.70%,28.90%,34.90%,10.40%,5.20%,2.70%,1.20%
Villanova,,18.20%,30.90%,27.80%,13.00%,7.00%,1.90%,1.20%
Seton Hall,,16.80%,41.10%,26.00%,10.90%,3.10%,1.10%,1.00%
Arizona,,39.30%,37.10%,9.40%,8.70%,2.40%,2.20%,0.90%
Houston,,41.90%,39.20%,7.50%,6.50%,2.70%,1.30%,0.90%
Michigan,,32.50%,35.90%,21.20%,6.20%,2.10%,1.30%,0.80%
Maryland,,28.60%,30.10%,26.20%,8.00%,4.90%,1.50%,0.70%
Auburn,,34.50%,27.80%,25.20%,8.00%,2.80%,1.10%,0.60%
West Virginia,,37.90%,34.30%,11.80%,9.80%,4.60%,1.00%,0.60%
Butler,,36.90%,30.80%,20.80%,6.40%,3.00%,1.70%,0.40%
Wisconsin,,33.20%,30.20%,26.70%,7.10%,1.50%,1.00%,0.30%
Colorado,,47.50%,40.20%,6.70%,2.90%,1.90%,0.50%,0.30%
Penn St,,32.80%,33.20%,18.80%,10.10%,4.40%,0.40%,0.30%
Iowa,,45.30%,40.10%,7.40%,4.60%,1.90%,0.50%,0.20%
Illinois,,43.30%,33.00%,14.80%,5.20%,3.10%,0.40%,0.20%
St Mary's CA,,48.40%,33.50%,11.70%,3.70%,2.20%,0.30%,0.20%
Cincinnati,,52.30%,33.80%,8.30%,3.60%,1.70%,0.10%,0.20%
Providence,,45.90%,32.00%,15.00%,4.70%,1.70%,0.60%,0.10%
Marquette,,58.10%,30.90%,5.80%,3.70%,0.90%,0.50%,0.10%
Virginia,,47.70%,37.50%,8.70%,4.20%,1.40%,0.40%,0.10%
Utah St,,62.10%,25.10%,6.30%,5.20%,1.00%,0.20%,0.10%
Florida,,52.50%,36.50%,7.90%,1.80%,1.00%,0.20%,0.10%
Oklahoma,,62.90%,31.30%,3.90%,1.50%,0.20%,0.10%,0.10%
Yale,,67.50%,24.20%,7.00%,1.00%,0.10%,0.10%,0.10%
LSU,,37.10%,50.90%,8.90%,2.00%,0.60%,0.50%,
Texas Tech,,60.70%,26.10%,8.00%,3.70%,1.20%,0.30%,
ETSU,,54.70%,32.80%,8.00%,3.60%,0.60%,0.30%,
Richmond,38.70%,35.60%,14.20%,9.20%,1.40%,0.70%,0.20%,
Liberty,,65.50%,20.50%,11.50%,1.70%,0.60%,0.20%,
Arizona St,,54.10%,30.30%,12.30%,2.90%,0.20%,0.20%,
Ark Little Rock,,85.30%,9.90%,4.20%,0.40%,,0.20%,
Rutgers,,51.60%,33.90%,10.00%,3.60%,0.80%,0.10%,
SF Austin,,70.00%,20.50%,6.90%,1.80%,0.70%,0.10%,
Akron,,71.40%,18.10%,8.40%,1.40%,0.60%,0.10%,
NC State,42.50%,36.40%,13.50%,5.30%,1.70%,0.50%,0.10%,
Vermont,,73.70%,16.80%,6.00%,3.00%,0.40%,0.10%,
Belmont,,86.50%,8.30%,3.80%,1.20%,0.10%,0.10%,
Texas,61.30%,27.50%,6.80%,3.90%,0.30%,0.10%,0.10%,
USC,,56.70%,31.90%,7.90%,2.80%,0.70%,,
North Texas,,66.80%,21.50%,9.40%,2.00%,0.30%,,
New Mexico St,,83.30%,11.00%,5.00%,0.40%,0.30%,,
Winthrop,,86.30%,10.50%,2.50%,0.40%,0.30%,,
Indiana,,74.80%,16.10%,7.00%,1.90%,0.20%,,
Bradley,,87.30%,8.70%,3.00%,0.80%,0.20%,,
UCLA,57.50%,30.80%,8.60%,2.40%,0.60%,0.10%,,
Hofstra,,81.80%,13.80%,3.80%,0.50%,0.10%,,
E Washington,,83.20%,14.00%,2.50%,0.20%,0.10%,,
Siena,,96.00%,3.60%,0.30%,,0.10%,,
UC Irvine,,89.40%,8.30%,1.80%,0.50%,,,
N Kentucky,,87.70%,9.60%,2.30%,0.40%,,,
N Dakota St,,84.30%,11.00%,4.40%,0.30%,,,
Boston Univ,38.50%,57.90%,2.80%,0.60%,0.20%,,,
Robert Morris,61.50%,36.30%,1.90%,0.30%,,,,
NC Central,54.80%,44.00%,1.10%,0.10%,,,,
Prairie View,45.20%,53.40%,1.40%,,,,,
